param,value,problem,mean_IGD,std_IGD,mean_IGDX,std_IGDX
cross_mode_mating_prob,0.5,MMF5,0.0055401893351750995,0.000149628395402648,0.1296583666543848,0.003080647185219267
decision_mode_archive_ratio,0.25,MMF1,0.005451333669467129,7.110780066165107e-05,0.07096358466523882,0.0004673392465773929
decision_mode_archive_ratio,0.25,MMF2,0.006670236005276075,0.0008455441031732204,0.07928948247133806,0.07255258495723237
decision_mode_archive_ratio,0.25,MMF5,0.00588592203538199,0.0004820787215363934,0.1316614435058446,0.01203513212815317
decision_mode_archive_ratio,0.5,MMF1,0.005484793960356632,0.00016876825950922755,0.07144882757204944,0.0022442654066589414
decision_mode_archive_ratio,0.5,MMF2,0.007008956576305595,0.0012207200237434877,0.0793749656232633,0.072789434401738
decision_mode_archive_ratio,0.5,MMF5,0.005802712639225375,0.00046968373400083687,0.1350590406610471,0.01057575598443222
decision_mode_archive_ratio,1.0,MMF1,0.005688679819444725,0.00013112361581847878,0.06972811327384093,0.0016495987308956389
decision_mode_archive_ratio,1.0,MMF2,0.007027155178827467,0.0014499176948965231,0.07920157552980121,0.07310425828485838
decision_mode_archive_ratio,1.0,MMF5,0.005866850282973203,0.000625566930988041,0.1312784954875314,0.008050991003237279
max_modes,5.0,MMF1,0.005485942481042939,5.3027169061267975e-05,0.06964763048641524,0.0014588485445967564
max_modes,5.0,MMF2,0.0075080901412976075,0.00044150998698452024,0.04205018779948277,0.013195395509884715
max_modes,5.0,MMF5,0.0059825049440873634,0.0004226672197617007,0.1327437277595264,0.01443114905850211
max_modes,8.0,MMF1,0.005797639415472557,0.0003617032562968515,0.07019233510424434,0.001847765210217157
max_modes,8.0,MMF2,0.00740301623048168,0.001030976812511171,0.07403619899148534,0.07632984877510107
max_modes,8.0,MMF5,0.00528911126749592,0.00010929032524751821,0.1255020328606338,0.012997865634500338
max_modes,12.0,MMF1,0.005484793960356632,0.00016876825950922755,0.07144882757204944,0.0022442654066589414
max_modes,12.0,MMF2,0.007008956576305595,0.0012207200237434877,0.0793749656232633,0.072789434401738
max_modes,12.0,MMF5,0.005802712639225375,0.00046968373400083687,0.1350590406610471,0.01057575598443222
max_modes,20.0,MMF1,0.005695260545034747,7.227207771958338e-05,0.07108800166854239,0.0003120938735361666
max_modes,20.0,MMF2,0.007041842176850971,0.0012042754788225548,0.0738712397704304,0.07648592850809112
max_modes,20.0,MMF5,0.006463378112954689,0.0005049185067656625,0.1275282731152009,0.002333642885783445
clustering_update_freq,1.0,MMF1,0.005650084245038235,0.00037556595716687155,0.0700913641492434,0.002879492673956518
clustering_update_freq,1.0,MMF2,0.0063138001505052875,0.00047400851881776386,0.02591026645236759,0.006494752153824067
clustering_update_freq,1.0,MMF5,0.005664442909362519,0.00020040421456508418,0.12381811943770725,0.0027356970483316885
clustering_update_freq,5.0,MMF1,0.005484793960356632,0.00016876825950922755,0.07144882757204944,0.0022442654066589414
clustering_update_freq,5.0,MMF2,0.007008956576305595,0.0012207200237434877,0.0793749656232633,0.072789434401738
clustering_update_freq,5.0,MMF5,0.005802712639225375,0.00046968373400083687,0.1350590406610471,0.01057575598443222
clustering_update_freq,10.0,MMF1,0.005754235386656508,0.00031775283115020164,0.06784808331947911,0.0008984919325951525
clustering_update_freq,10.0,MMF2,0.0067253234000428435,0.00022626621260839335,0.020712231449137933,0.0042959460978351585
clustering_update_freq,10.0,MMF5,0.0054494408058546745,0.00025532013446735437,0.13742887115406505,0.006957190487259981
operator_lr,0.05,MMF1,0.005455224314283076,0.0005915635751655306,0.06834067184650405,0.003142034581214918
operator_lr,0.05,MMF2,0.006486039686448061,0.0003140906956174922,0.024158402454204378,0.007198021147860534
operator_lr,0.05,MMF5,0.005199390575822559,0.00017179951092309356,0.12749001403599455,0.0029874471659632248
operator_lr,0.1,MMF1,0.005484793960356632,0.00016876825950922755,0.07144882757204944,0.0022442654066589414
operator_lr,0.1,MMF2,0.007008956576305595,0.0012207200237434877,0.0793749656232633,0.072789434401738
operator_lr,0.1,MMF5,0.005802712639225375,0.00046968373400083687,0.1350590406610471,0.01057575598443222
operator_lr,0.2,MMF1,0.0060243901577876425,0.0005173262876864596,0.07095150444365855,0.0026543777286259173
operator_lr,0.2,MMF2,0.006491945788840914,0.00029577696397637933,0.02872468775872058,0.0052152915781399295
operator_lr,0.2,MMF5,0.0055832355515679465,9.543951425448537e-05,0.13921571203024038,0.009216165660836422
