beta,problem,run,IGD,IGDX
0.25,MMF2,0,0.00297102382353384,0.007217119483466849
0.25,MMF2,3,0.0032918760420153673,0.00934039345967247
0.25,MMF1,28,0.00247895489146046,0.037285328925847794
0.25,MMF1,29,0.0031487791142476933,0.04086005089230958
0.25,MMF2,4,0.0030533364681176664,0.010044296825099152
0.25,MMF2,5,0.0029176013487660153,0.013194515516159775
0.25,MMF2,6,0.0031255055101399396,0.0086260140890724
0.25,MMF2,8,0.003258449365589503,0.018044595832541945
0.25,MMF2,7,0.003014212273899829,0.007971814577987749
0.25,MMF2,10,0.002934184508683432,0.006482947127688699
0.25,MMF2,9,0.00296301966417551,0.0067574448306687495
0.25,MMF2,12,0.0029775649967366496,0.00856440058189174
0.25,MMF2,11,0.003025735031023021,0.009396410237737617
0.25,MMF2,13,0.0031622438809183772,0.00781209611013581
0.25,MMF2,16,0.002976392795661525,0.007934826083074935
0.25,MMF2,17,0.0030693542162743156,0.006821802514227558
0.25,MMF2,14,0.002942186664764062,0.014228090997184258
0.25,MMF2,15,0.00286597510996075,0.009348870789171099
0.25,MMF2,18,0.002976281451914686,0.006475533676869883
0.25,MMF2,19,0.003516683942233802,0.008493994368152357
0.25,MMF2,22,0.002937592626478911,0.02949043965619352
0.25,MMF2,20,0.0033583244329187,0.023402174081221472
0.25,MMF2,21,0.0031651910474476273,0.007798975322446942
0.25,MMF2,23,0.0027964893032394597,0.01136191369202202
0.25,MMF2,24,0.0030964879592629275,0.007860977323388236
0.25,MMF2,25,0.00310157455553663,0.008711014010872379
0.25,MMF2,26,0.00279616053098473,0.01979530748050783
0.25,MMF2,29,0.0030472117668730587,0.011987236816945461
0.25,MMF2,27,0.003289018411524136,0.015841307633087595
0.25,MMF2,28,0.0032518324502213655,0.007019788755356007
0.25,MMF5,1,0.002808217878424997,0.07805781426430784
0.25,MMF5,0,0.002712796665826029,0.0722593251718912
0.25,MMF5,2,0.0032322600670147473,0.07577842713282552
0.25,MMF5,3,0.002805739695599308,0.07678975871300153
0.25,MMF5,5,0.0026751290374445605,0.08142876668220553
0.25,MMF5,4,0.0030588065655995436,0.07192099083602467
0.25,MMF5,6,0.0025902999017438154,0.07591375003894654
0.25,MMF5,7,0.002640042696482793,0.07135097158013044
0.25,MMF5,9,0.002717133611016277,0.07681328706151916
0.25,MMF5,8,0.002824524268558282,0.0757812179212379
0.25,MMF5,10,0.0029945827119895875,0.0806419487298007
0.25,MMF5,11,0.0026879947139647033,0.07370047837098817
0.25,MMF5,12,0.0027739069479987177,0.07493358807557453
0.25,MMF5,13,0.0026902896851276393,0.08210219585398942
0.25,MMF5,16,0.002638876749682118,0.07593037634941785
0.25,MMF5,14,0.0025641814271959557,0.07298788165486797
0.25,MMF5,17,0.002646043444055405,0.07364934137174879
0.25,MMF5,15,0.0027593786285926595,0.07038982335018179
0.25,MMF5,18,0.002843467830756984,0.07874052332424772
0.25,MMF5,20,0.002559256170990917,0.07172847522512131
0.25,MMF5,19,0.0030402722590630715,0.08004185336419357
0.25,MMF5,24,0.0026603511684456333,0.07148154487140986
0.25,MMF5,21,0.0026452331585236576,0.07919187585659435
0.25,MMF5,22,0.0027545866397231467,0.07513801572668785
0.25,MMF5,23,0.0026050284919336697,0.07185604473079146
0.25,MMF5,25,0.0026936407661305286,0.07276935278878349
0.25,MMF5,26,0.0026784335747019835,0.07495671428666419
0.25,MMF5,27,0.002849804688567291,0.07132360238528053
0.25,MMF5,29,0.0031030473168132777,0.08049422128700462
0.25,MMF5,28,0.0025978791692726497,0.07326071502109645
0.5,MMF1,1,0.0028863529484729794,0.03874195700025028
0.5,MMF1,0,0.002639828041502214,0.04022484209109986
0.5,MMF1,3,0.0026989555855277633,0.040180991965597136
0.5,MMF1,2,0.002781058527138592,0.036108389127892104
0.5,MMF1,4,0.003005099985772686,0.04702806426117672
0.5,MMF1,7,0.0027427086686662525,0.03959960793226483
0.5,MMF1,6,0.002748923818585853,0.03839276330884839
0.5,MMF1,9,0.0029281499917617974,0.04355319661443841
0.5,MMF1,5,0.002792404232298876,0.04161595407612401
